wage;educ;exper;metro
5.53;12;38;0
5.53;12;19;1
5.54;12;19;0
5.63;13;13;0
5.64;12;5;1
5.65;12;45;1
5.65;11;20;1
5.66;13;37;1
5.67;16;30;1
5.67;13;8;1
5.71;11;8;1
5.73;18;17;1
5.73;12;15;0
5.74;13;1;1
5.75;12;18;1
5.78;12;21;0
5.81;16;19;0
5.83;12;7;1
5.87;13;24;1
5.89;13;11;1
5.89;16;2;1
5.89;12;32;1
5.89;13;4;1
5.89;16;21;1
5.89;14;3;1
5.89;12;32;1
5.89;12;21;1
5.89;12;20;1
5.89;12;16;1
5.89;13;11;0
5.89;10;16;0
5.89;12;18;1
5.89;12;7;1
5.89;14;16;0
5.89;12;13;1
5.89;13;3;1
5.89;16;3;1
5.93;12;12;0
5.93;12;21;0
5.95;16;4;1
5.95;13;23;1
5.99;10;34;0
5.99;11;31;1
6;12;17;1
6;4;24;1
6.02;16;2;1
6.07;13;9;1
6.11;12;11;1
6.11;12;24;1
6.14;10;19;1
6.14;12;8;1
6.17;13;2;1
6.17;12;9;1
6.19;12;39;1
6.19;14;5;1
6.22;13;18;1
6.23;16;3;1
6.26;14;13;1
6.26;12;6;1
6.26;12;2;1
6.26;9;11;0
6.26;13;6;1
6.26;16;36;1
6.3;13;5;1
6.32;12;20;1
6.37;12;25;0
6.37;12;32;1
6.42;14;6;1
6.43;13;26;1
6.45;12;10;0
6.45;16;7;1
6.45;9;15;1
6.45;12;4;0
6.48;12;1;1
6.54;13;8;1
6.63;16;31;1
6.63;13;6;1
6.63;12;27;1
6.63;12;18;1
6.63;8;30;0
6.63;12;22;1
6.63;12;34;1
6.63;14;21;1
6.63;13;8;0
6.67;12;46;0
6.68;13;15;1
6.7;12;4;1
6.7;14;8;1
6.7;13;1;1
6.71;12;31;1
6.72;11;34;1
6.72;12;15;1
6.72;11;12;0
6.73;12;46;1
6.79;13;36;1
6.8;12;21;1
6.81;12;20;1
6.83;12;7;1
6.87;13;36;0
6.88;12;7;0
6.89;12;19;1
6.89;12;4;1
6.91;12;25;1
6.91;13;13;1
6.99;12;14;0
7;12;42;1
7;12;4;1
7.02;14;21;0
7.06;14;15;1
7.07;16;31;0
7.07;16;1;1
7.07;13;2;1
7.07;12;40;1
7.07;13;20;1
7.07;13;29;1
7.07;18;20;1
7.07;13;25;1
7.07;13;40;1
7.11;8;36;0
7.11;16;23;1
7.15;13;10;1
7.15;12;29;1
7.16;13;23;1
7.17;12;35;1
7.18;12;21;1
7.21;12;14;1
7.24;12;12;0
7.26;12;28;1
7.26;12;3;1
7.27;16;3;1
7.28;10;23;0
7.29;12;3;1
7.32;12;11;1
7.33;13;6;1
7.37;12;26;1
7.37;12;19;1
7.37;12;36;0
7.37;16;18;1
7.37;14;11;1
7.37;12;24;1
7.37;12;24;1
7.37;12;32;1
7.37;9;13;1
7.37;12;45;1
7.37;12;4;1
7.37;16;5;1
7.37;12;3;1
7.37;12;39;1
7.37;16;11;0
7.37;12;25;1
7.37;16;1;1
7.37;12;12;1
7.37;12;15;1
7.37;12;14;0
7.37;12;11;1
7.37;12;4;1
7.37;12;10;1
7.42;16;8;1
7.51;16;24;1
7.51;13;8;1
7.51;12;45;1
7.54;13;22;1
7.54;12;20;1
7.55;16;7;1
7.55;12;27;1
7.55;16;12;1
7.55;12;35;1
7.59;12;41;1
7.64;16;8;0
7.65;12;20;1
7.65;12;13;1
7.66;12;14;1
7.66;13;41;1
7.68;16;9;1
7.73;12;22;1
7.74;16;7;1
7.74;10;12;0
7.76;13;22;1
7.78;16;14;1
7.79;16;13;1
7.79;12;37;1
7.79;16;11;0
7.81;13;9;1
7.81;12;14;0
7.83;13;16;1
7.83;14;10;0
7.83;14;25;1
7.86;13;5;1
7.87;12;16;1
7.88;12;14;1
7.9;18;26;1
7.92;12;21;1
7.93;13;9;1
7.94;13;27;0
7.96;13;15;1
7.99;16;14;0
8.04;16;2;1
8.07;13;29;1
8.1;13;39;1
8.1;13;40;1
8.1;16;13;1
8.1;14;24;1
8.1;13;6;1
8.1;12;27;1
8.1;12;12;1
8.1;12;13;1
8.1;4;36;1
8.19;13;14;1
8.2;14;24;1
8.29;12;2;1
8.29;12;25;1
8.29;13;39;1
8.29;16;12;1
8.29;12;10;1
8.29;12;43;0
8.29;12;23;0
8.29;12;10;1
8.34;12;17;1
8.36;16;32;1
8.37;12;27;1
8.4;14;19;0
8.41;16;5;1
8.45;13;23;1
8.47;12;40;1
8.49;13;6;1
8.49;12;9;0
8.49;12;32;1
8.49;12;26;1
8.49;16;0;1
8.49;16;19;0
8.49;13;6;0
8.55;18;21;0
8.56;14;3;1
8.64;12;15;1
8.66;12;9;1
8.66;12;19;1
8.66;14;14;1
8.68;12;19;1
8.69;13;4;1
8.74;12;26;1
8.77;14;26;0
8.81;12;26;0
8.84;16;3;0
8.84;11;12;1
8.84;12;18;1
8.84;12;21;1
8.84;12;15;1
8.84;11;17;1
8.84;12;28;1
8.84;12;28;1
8.84;16;27;1
8.84;14;22;1
8.84;12;37;1
8.84;12;20;1
8.84;14;2;1
8.84;13;38;1
8.84;12;37;1
8.84;13;36;1
8.84;12;39;1
8.84;13;1;1
8.88;12;10;1
8.91;12;33;0
9;12;15;1
9;18;4;1
9.01;12;29;1
9.03;13;29;1
9.06;14;21;0
9.14;14;18;1
9.14;16;16;1
9.17;12;27;1
9.21;12;29;1
9.21;12;24;0
9.21;10;45;1
9.21;9;40;0
9.21;13;16;1
9.21;13;10;1
9.21;13;23;0
9.21;12;14;0
9.21;12;13;1
9.21;9;33;1
9.21;16;13;1
9.3;12;17;1
9.3;12;16;0
9.31;12;44;1
9.34;18;26;0
9.37;12;14;1
9.39;12;9;0
9.42;10;40;0
9.43;12;23;0
9.43;12;3;1
9.44;16;5;1
9.44;13;17;0
9.45;12;34;1
9.5;12;25;1
9.56;12;18;1
9.56;13;21;1
9.56;12;32;1
9.58;10;37;0
9.58;13;10;1
9.58;9;3;1
9.58;12;21;1
9.58;16;17;1
9.58;18;5;1
9.58;14;19;1
9.58;12;7;1
9.58;13;13;1
9.58;13;12;1
9.58;12;31;0
9.58;16;39;1
9.67;16;16;1
9.72;16;14;1
9.75;12;20;0
9.76;12;15;1
9.78;16;8;1
9.8;13;20;1
9.82;16;10;0
9.91;12;23;1
9.91;12;44;0
9.91;13;9;1
9.91;13;6;1
9.92;16;5;0
9.95;12;26;1
9.95;13;6;1
9.95;12;30;1
10.04;12;13;0
10.13;12;15;1
10.13;13;35;1
10.13;16;6;1
10.13;12;26;0
10.13;16;13;0
10.13;13;21;1
10.13;14;9;1
10.18;12;20;0
10.19;13;11;1
10.2;13;23;1
10.26;13;45;1
10.3;13;28;1
10.31;13;15;1
10.31;12;14;1
10.31;13;27;0
10.31;13;3;1
10.31;14;12;0
10.31;12;24;1
10.31;12;12;1
10.31;12;18;1
10.31;14;31;1
10.39;16;28;0
10.42;16;19;1
10.44;12;27;0
10.46;12;31;1
10.52;14;13;1
10.52;14;24;1
10.56;14;20;1
10.57;12;10;1
10.61;13;16;0
10.61;13;7;1
10.61;12;18;1
10.61;12;26;1
10.61;16;30;1
10.61;12;25;1
10.61;18;35;0
10.62;13;7;1
10.64;12;27;1
10.68;13;16;0
10.7;13;27;1
10.74;13;25;1
10.76;18;8;0
10.77;18;16;1
10.81;13;16;1
10.87;13;23;1
10.88;13;18;0
10.89;16;22;0
10.98;16;13;1
11.05;11;24;1
11.05;13;18;0
11.05;6;19;1
11.05;9;35;1
11.05;11;6;1
11.05;12;37;1
11.05;16;10;1
11.05;13;32;1
11.05;13;6;1
11.05;12;24;1
11.05;12;26;1
11.05;12;18;1
11.05;14;33;1
11.05;12;30;1
11.05;16;10;1
11.05;16;7;1
11.05;12;4;1
11.05;16;7;1
11.05;12;28;1
11.05;14;31;0
11.05;12;38;1
11.05;12;22;1
11.12;16;24;1
11.12;13;10;1
11.17;16;10;1
11.22;12;16;1
11.29;16;1;0
11.32;12;17;1
11.33;12;5;1
11.33;13;1;1
11.33;12;11;1
11.33;12;20;1
11.35;13;28;0
11.36;13;29;1
11.36;13;19;1
11.44;13;10;1
11.51;13;16;1
11.57;12;22;1
11.59;13;16;1
11.59;16;7;1
11.59;12;27;1
11.6;13;36;1
11.61;12;31;0
11.64;14;18;1
11.68;16;2;1
11.68;16;3;1
11.68;16;19;1
11.73;12;35;1
11.73;12;20;0
11.75;14;16;0
11.79;13;10;1
11.79;16;27;1
11.79;13;17;0
11.79;18;5;1
11.79;16;2;1
11.79;14;7;0
11.8;16;22;1
11.8;12;42;0
11.81;12;14;1
11.86;16;5;1
11.86;12;20;1
11.87;12;35;0
11.9;13;18;1
11.91;13;15;0
11.97;16;9;1
11.97;13;16;1
11.97;11;26;0
12;18;21;1
12.02;18;8;1
12.03;16;1;1
12.03;12;17;1
12.03;16;14;1
12.03;16;9;1
12.05;6;30;1
12.12;16;35;0
12.16;12;25;1
12.17;16;4;1
12.22;16;30;0
12.23;12;36;1
12.23;6;40;1
12.25;14;26;1
12.28;13;28;1
12.28;13;33;0
12.34;13;20;0
12.36;16;22;1
12.38;16;15;1
12.4;16;14;1
12.4;18;12;1
12.4;13;5;1
12.4;18;26;1
12.4;16;16;1
12.4;18;24;1
12.4;13;34;1
12.4;12;25;0
12.4;18;26;1
12.4;12;31;1
12.44;12;13;1
12.52;16;10;1
12.52;13;19;0
12.52;12;10;1
12.52;14;23;0
12.52;12;16;1
12.52;12;29;1
12.59;16;8;1
12.63;14;11;1
12.64;12;44;1
12.71;13;30;1
12.75;16;5;1
12.75;13;36;1
12.75;16;9;1
12.75;14;29;1
12.75;16;6;0
12.75;16;35;0
12.75;18;35;0
12.75;13;22;1
12.75;18;20;0
12.75;18;21;1
12.75;13;8;0
12.87;18;25;1
12.88;13;29;1
12.89;12;26;1
12.89;8;35;0
12.89;16;2;0
12.89;16;0;1
12.91;18;26;1
12.96;12;27;1
12.97;13;10;1
13.07;18;8;1
13.08;14;33;1
13.08;16;21;1
13.1;12;24;0
13.1;16;5;1
13.1;18;10;0
13.11;12;43;1
13.13;13;29;1
13.15;13;19;1
13.17;13;18;1
13.21;16;24;1
13.26;16;31;1
13.26;12;11;1
13.29;16;12;1
13.3;13;22;0
13.32;12;5;1
13.33;12;36;1
13.45;13;26;1
13.45;16;6;1
13.45;16;20;1
13.46;18;19;1
13.57;18;5;1
13.59;12;38;1
13.6;18;21;1
13.61;12;25;1
13.68;12;12;1
13.81;16;18;1
13.83;14;17;1
13.91;12;19;1
14.11;13;29;1
14.16;16;9;1
14.16;18;7;1
14.16;13;21;1
14.16;14;20;0
14.16;12;21;1
14.16;16;8;1
14.16;16;12;1
14.16;16;4;1
14.16;13;14;1
14.16;12;32;1
14.16;18;27;1
14.16;16;8;1
14.16;12;23;1
14.17;16;26;1
14.17;16;25;1
14.18;12;15;1
14.19;18;23;1
14.27;13;28;1
14.37;12;32;1
14.51;8;28;1
14.51;16;18;1
14.52;13;16;1
14.73;13;12;1
14.73;12;42;0
14.73;13;35;1
14.73;13;35;1
14.73;12;23;1
14.73;14;14;1
14.73;13;20;1
14.73;16;24;1
14.73;16;41;0
14.73;18;16;1
14.78;16;28;1
14.78;13;24;0
14.81;14;23;1
14.86;12;33;1
14.86;18;16;1
14.86;18;26;1
14.86;13;22;1
14.86;18;23;1
15.1;13;14;1
15.21;18;7;1
15.35;18;20;1
15.35;13;24;1
15.35;12;42;1
15.47;13;35;0
15.47;16;11;1
15.55;13;18;1
15.55;16;12;1
15.57;12;16;1
15.57;16;31;1
15.57;16;3;1
15.58;13;17;1
15.66;12;21;1
15.66;6;52;1
15.69;16;21;0
15.82;16;32;1
15.85;16;13;1
15.86;13;23;1
15.91;12;12;1
15.91;16;23;1
15.93;16;10;1
15.93;12;39;1
15.93;11;19;1
15.93;16;8;1
15.93;13;30;1
15.93;16;10;1
15.93;18;2;1
15.93;16;16;0
15.93;18;36;1
16.1;12;24;1
16.120001;18;3;1
16.129999;12;41;1
16.129999;14;20;0
16.17;12;41;1
16.209999;12;29;0
16.280001;18;26;0
16.280001;18;33;1
16.360001;18;13;1
16.370001;12;22;0
16.58;18;14;1
16.58;14;38;1
16.58;12;16;1
16.620001;16;15;1
16.68;16;7;1
16.940001;12;19;1
16.940001;13;29;0
16.99;18;12;1
16.99;9;34;1
17;16;22;1
17;13;23;1
17;16;9;1
17.040001;16;8;1
17.049999;12;37;1
17.200001;12;14;1
17.25;14;33;1
17.530001;18;22;1
17.540001;16;18;1
17.68;13;12;1
17.68;16;14;1
17.700001;12;9;1
17.700001;12;24;1
17.700001;14;30;1
17.700001;18;23;1
17.700001;18;13;1
17.700001;12;27;1
17.700001;18;5;1
17.76;16;18;1
17.83;13;25;1
17.85;16;9;1
18.120001;14;12;0
18.17;16;9;0
18.17;18;23;1
18.23;16;23;1
18.27;18;1;1
18.33;12;40;0
18.389999;12;13;1
18.42;18;26;1
18.42;13;22;1
18.42;16;12;1
18.42;12;19;1
18.42;16;5;1
18.42;16;28;1
18.42;12;23;1
18.42;14;43;1
18.42;16;7;1
18.42;18;26;1
18.440001;16;24;1
18.67;16;12;1
18.879999;18;6;1
18.879999;16;18;1
19.120001;13;25;1
19.120001;18;12;1
19.120001;12;24;1
19.16;12;22;1
19.32;18;22;1
19.34;14;26;1
19.469999;13;21;1
19.83;18;11;1
19.83;18;11;1
19.83;16;26;1
19.860001;16;14;1
20.02;18;16;1
20.23;16;13;1
20.24;18;28;1
20.26;18;19;1
20.459999;12;37;1
20.49;18;34;1
20.540001;16;26;1
20.93;18;17;1
21.07;13;23;1
21.24;14;35;1
21.25;12;27;1
21.25;12;27;1
21.25;16;9;0
21.450001;13;31;1
22.030001;12;20;1
22.1;16;21;0
22.139999;16;22;1
22.379999;16;26;1
22.58;16;21;1
22.66;16;18;1
22.66;18;18;1
22.950001;18;27;1
22.950001;16;20;1
23.02;16;29;1
23.02;18;18;1
23.23;13;12;1
23.58;14;15;1
23.58;12;33;1
23.610001;18;20;1
23.610001;16;8;1
23.610001;18;28;1
23.610001;13;29;1
23.610001;16;31;1
23.719999;16;32;1
23.719999;16;10;1
24.790001;12;27;1
24.790001;16;8;1
24.790001;12;17;1
25.26;16;30;1
25.42;18;34;0
25.49;18;25;1
25.530001;18;28;1
25.76;18;14;1
25.76;16;26;1
25.790001;18;23;1
26.440001;18;34;1
26.98;12;45;0
27.26;16;3;0
28;13;15;1
28.040001;16;15;1
28.32;13;24;1
28.33;18;13;1
28.33;18;12;1
28.33;12;34;1
28.33;18;16;1
28.33;18;11;1
28.33;16;18;1
29.52;16;41;1
31.48;13;34;1
32.689999;16;20;1
34;18;26;1
35.419998;16;16;1
35.419998;14;22;1
35.419998;18;21;1
35.419998;18;23;1
36.84;16;7;1
41.32;16;11;1
47.220001;18;35;1
60.189999;16;33;1
